-3144,-15700,-192,3088,-14680,5128,1372,-14560,7292,5568,-13880,9080,4288,-15000,4900,up all
-3188,-15672,-312,3244,-14636,4972,1300,-14396,7548,5496,-13808,9416,4456,-14900,4964,up all
-3060,-15696,-348,3196,-14724,4984,1324,-14532,7240,5488,-13796,9352,4308,-15128,4864,up all
-3008,-15736,-400,3208,-14740,5072,1332,-13996,7784,5572,-13720,9516,4324,-14940,5096,up all
-3212,-15656,-212,3076,-14616,5140,1344,-14584,7436,5716,-13812,9100,4472,-15048,4880,up all
-3472,-15816,-244,3524,-14896,4972,1312,-14488,7616,5760,-13732,9584,4508,-15072,4996,up all
-3280,-15688,88,3308,-14752,4960,1324,-14508,7296,5648,-13808,9248,4380,-15032,5016,up all
-3392,-15692,-136,3248,-14676,5280,1300,-14464,7792,5628,-13672,9284,4232,-15068,4704,up all
-3528,-15692,-96,3100,-14580,5828,1276,-14368,7984,5500,-13720,9280,4356,-15020,4920,up all
-3148,-15464,-328,3228,-14616,5224,1308,-14368,7292,5492,-13700,9600,4496,-14932,5160,up all
-3232,-15608,-192,3296,-14756,5056,1296,-14536,7424,5692,-13716,9460,4476,-14936,5412,up all
-3652,-15692,8,3172,-14712,5360,1340,-14472,7656,5540,-13844,9516,4408,-15068,4752,up all
-3268,-15608,-176,3272,-14656,5460,1364,-14524,7512,5712,-13776,9284,4556,-14924,4944,up all
-3492,-15700,-508,3024,-14824,5040,1220,-14572,7008,5588,-13964,8788,4368,-15024,4896,up all
-3276,-15564,-644,3100,-14724,5400,1312,-14420,7680,5500,-13580,9872,4328,-14984,4844,up all
-3052,-15532,-560,3172,-14748,5004,1192,-14540,7640,5616,-13688,9832,4172,-14944,5208,up all
-3424,-15636,-124,3468,-14496,5180,1540,-14264,7776,5748,-13584,9964,4544,-14944,5236,up all
-3624,-15688,-376,3232,-14680,5216,1300,-14444,7732,5600,-13616,9728,4380,-15040,5156,up all
-3556,-15608,-88,3212,-14584,5812,1544,-14352,8060,5628,-13740,9424,4308,-15028,5140,up all
-3376,-15636,-420,3328,-14608,5136,1340,-14496,7400,5520,-13728,9464,4380,-14992,5076,up all
-3572,-15620,-196,3376,-14740,5388,1392,-14392,7712,5544,-13680,9436,4272,-15068,5184,up all
